"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17024532","2017-05-22"," LG-F800L ","V20","190000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","하(번인/잔상/파손)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6423.jpg","판매가 완료된 상품 입니다."
"17024563","2017-05-22"," SM-N920S 64GB ","갤럭시 노트5","530000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6146.jpg","N/A"
"17024576","2017-05-22"," SM-R750S ","삼성 기어 S","41000","요금할인약정 불가","SKT","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5950.jpg","판매가 완료된 상품 입니다."
"17024578","2017-05-22"," SM-J510K ","갤럭시J5 2016","95000","요금할인약정 가능","KT (마이크로유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6373.jpg","판매가 완료된 상품 입니다."
"17024579","2017-05-22"," SM-N920L 64GB ","갤럭시 노트5","510000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6152.jpg","N/A"
"17024581","2017-05-22"," SM-R750S ","삼성 기어 S","58000","요금할인약정 불가","SKT","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5950.jpg","판매가 완료된 상품 입니다."
"17024584","2017-05-22"," SM-G920K 32GB ","갤럭시 S6","170000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6029.jpg","N/A"
"17024588","2017-05-22"," A1784 128GB ","아이폰7플러스","860000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
"17024592","2017-05-22"," EVA-L09 ","P9","238000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6360.jpg","판매가 완료된 상품 입니다."
"17024595","2017-05-22"," A1784 128GB ","아이폰7플러스","850000","모름","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","N/A"
